start: 
Current Time = 04:38:56
------------------------------------------------------------------
Dataset: perth.csv
Normalization used is StandardScaler
Dataset total size after normalization: (26510, 9)
Train/test division is 70/30
RANDOM FOREST LOGS WITH FOLLOWING PARAMS:
{'n_estimators': [50, 100, 250, 500], 'max_features': ['auto', 'sqrt', 'log2', None], 'max_depth': [5, 6, 7, 8, 9, 10, 11, 12, 13, 14]}
Starting search for best params: 
Current Time = 04:38:56
Best params were the following:
Current Time = 05:57:59
{'max_depth': 14, 'max_features': 'auto', 'n_estimators': 500}
Applying prediction with the params...
!!!!!!!!!!!!!!!!!!!!!!!!!!!True vs Preds!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
[617400.] --- 708880.6561070202
[302400.] --- 280698.1665185805
[289170.] --- 330642.6377728711
[214830.] --- 217805.21632446843
[100422.] --- 96156.06180600025
[277200.] --- 340603.3495434011
[346500.] --- 331345.4096861459
[617400.] --- 475872.44148038025
[324450.] --- 434557.2673684344
[213570.] --- 255976.24167516423
[292950.] --- 279750.2633792441
[394065.] --- 405129.06303856097
[226800.] --- 240853.28115481453
[327600.] --- 346486.533044817
[325710.] --- 353546.12615338794
[157500.] --- 261246.33648860376
[529200.] --- 508868.4876300467
[674100.] --- 575121.8196337677
[793800.] --- 578174.5543228606
[251993.7] --- 232319.17868028086
[245700.] --- 232868.38654108648
[324450.] --- 346500.7240680353
[220500.] --- 241869.39399752556
[226800.] --- 244481.11664113041
[239400.] --- 292083.92537249206
[225540.] --- 297671.08130616025
[258300.] --- 318962.48366663954
[299250.] --- 279142.28034538584
[267120.] --- 266608.85546144313
[567000.] --- 518825.415645297
[262710.] --- 298749.0868938876
[255150.] --- 262865.0791124266
[434700.] --- 490589.62200773845
[277200.] --- 306325.82841792254
[220500.] --- 247707.67612319984
[267750.] --- 296115.1913766812
[389340.] --- 302261.32201080676
[264600.] --- 251275.5267788466
[265860.] --- 398529.93337556004
[746550.] --- 662213.223678253
[340200.] --- 415120.0065357991
[137025.] --- 160948.85215256628
[393750.] --- 346126.19794758974
[478800.] --- 368626.3928642982
[623700.] --- 531123.135878904
[809550.] --- 701261.7064945622
[311850.] --- 316490.1242103776
[239400.] --- 280555.1967945835
[189000.] --- 249352.35678279828
[366660.] --- 326304.6839967871
[372330.] --- 287923.60333235655
[352800.] --- 314983.3029976894
[102045.51] --- 110882.99118000003
[213570.] --- 176290.83900823662
[258300.] --- 267324.57978125906
[286650.] --- 341822.0043000001
[220500.] --- 221549.59051620675
[389340.] --- 326484.8007072501
[259560.] --- 258406.40408260055
[198450.] --- 212688.4304273818
[239400.] --- 243771.11307416993
[478800.] --- 497409.3425417014
[226800.] --- 190953.5110522917
[324450.] --- 307188.2145685812
[283500.] --- 315531.81610968773
[445410.] --- 402024.3867035815
[381150.] --- 324257.0519293275
[269325.] --- 288658.7055958081
[326340.] --- 288668.2237315316
[239400.] --- 238171.5888054041
[195300.] --- 217248.9960133862
[352800.] --- 393840.20656490605
[472500.] --- 419947.1294522994
[126000.] --- 203280.66397897498
[393750.] --- 355016.6037275421
[119700.] --- 164762.22032952734
[384300.] --- 368543.8822236988
[327600.] --- 360093.64378173184
[354690.] --- 335384.87734730396
[444150.] --- 345294.7195360729
[296100.] --- 297013.5586480335
[387450.] --- 376858.7537121672
[308700.] --- 261588.5305472028
[228060.] --- 264449.2116041538
[301770.] --- 312185.4394695579
[409500.] --- 384814.79610237293
[233100.] --- 282823.3507329
[265860.] --- 314914.8286689153
[327600.] --- 283691.90783670824
[248850.] --- 316938.6875071055
[286650.] --- 296795.29490423563
[378000.] --- 430328.2660766213
[255150.] --- 258598.19581885307
[211050.] --- 196369.15348627145
[409500.] --- 365943.7666793589
[655200.] --- 725229.9414685315
[296100.] --- 318716.16612460674
[450450.] --- 388234.84831380274
[488250.] --- 374648.86722384434
[330750.] --- 321206.0453008722
[355950.] --- 359830.25919562875
[305550.] --- 262573.68299190776
[308700.] --- 289646.1717190106
[310590.] --- 309103.9163331376
[280350.] --- 306296.89337584627
[264600.] --- 252155.07199826027
[299250.] --- 224476.53137818043
[578340.] --- 473830.9072193309
[282870.] --- 282036.4374217204
[352800.] --- 359830.6036716704
[693000.] --- 581110.1757012192
[333900.] --- 389235.68376734486
[132300.] --- 167888.57619065183
[226800.] --- 216519.5064927353
[295470.] --- 278739.7054605695
[211050.] --- 302545.049025725
[406350.] --- 398350.53580060945
[453600.] --- 353727.63670357846
[193410.] --- 206897.59277213205
[630000.] --- 471602.6434117133
[207900.] --- 230747.5686575595
[207900.] --- 294141.06001824315
[264600.] --- 262311.06397531094
[267750.] --- 269803.08980853786
[368550.] --- 321914.4446333536
[180810.] --- 206182.8962532344
[192150.] --- 266930.223011859
[151200.] --- 158918.74699634057
[535500.] --- 531275.0345677269
[248850.] --- 271251.168951854
[708750.] --- 543551.8387916742
[251370.] --- 258738.4227816045
[420997.5] --- 482066.50372735993
[286650.] --- 322856.1989463967
[415800.] --- 465539.91712091723
[387450.] --- 357840.2730856944
[233100.] --- 215497.8874385509
[299250.] --- 322588.87182581663
[283500.] --- 261919.20833370285
[242550.] --- 255398.49752525587
[510300.] --- 503605.1270017503
[314370.] --- 331578.66531589715
[226800.] --- 389861.1870328835
[800100.] --- 494120.2586617065
[787500.] --- 721965.8019909621
[412650.] --- 370078.6971456891
[349650.] --- 292018.0201164336
[441000.] --- 434575.3581608526
[371700.] --- 369238.61920228915
[195300.] --- 213380.56751346134
[201600.] --- 197939.36483495214
[92106.] --- 295021.9941465521
[245700.] --- 217251.4298834881
[441000.] --- 569715.8988780465
[727650.] --- 673553.9750285232
[264600.] --- 257047.14445447383
[513450.] --- 550788.7433701677
[456750.] --- 489239.9182819093
[549360.] --- 636046.4348224939
[195300.] --- 202101.62474234242
[255150.] --- 301112.58991828497
[195300.] --- 221872.08811650498
[195300.] --- 243446.07125310853
[253575.] --- 365819.83890112606
[579600.] --- 611768.7225857121
[768600.] --- 650622.4936285336
[264600.] --- 268892.10252577864
[333900.] --- 308583.97425179835
[125370.] --- 193148.20519841218
[311850.] --- 341548.7903024421
[456750.] --- 493525.3054883427
[756000.] --- 668184.5583939088
[201600.] --- 277675.0675530995
[441000.] --- 412677.71063899307
[346437.] --- 570806.7444395714
[381150.] --- 309784.4143319997
[365400.] --- 358495.3840176758
[459900.] --- 480625.22965799837
[400050.] --- 420190.3968989331
[189630.] --- 218096.98944165453
[185850.] --- 211571.07570372592
[276570.] --- 353724.93892871414
[233100.] --- 276651.6407822458
[425250.] --- 396341.7548519041
[655200.] --- 577168.6687839468
[544950.] --- 600204.8034907463
[529200.] --- 456042.89424963156
[381780.] --- 420778.6747061891
[186480.] --- 221362.62997647485
[242550.] --- 264922.32262097107
[579600.] --- 467653.16835249413
[220500.] --- 251389.98395090312
[267750.] --- 330307.9091155134
[504000.] --- 453684.15467010275
[333900.] --- 462397.5959013026
[324450.] --- 320131.77552199335
[182700.] --- 215898.04637574646
[287280.] --- 310951.83880117175
[481950.] --- 459888.3578748841
[263970.] --- 249009.31914492938
[220500.] --- 252713.9333618424
[182700.] --- 182432.86265573252
[497700.] --- 424318.11729292455
[280350.] --- 300853.10505255207
[359100.] --- 318791.8876411934
[195300.] --- 170824.56981337967
[787500.] --- 616489.4063054186
[190890.] --- 219606.84000583016
[283500.] --- 308513.0074679477
[96421.5] --- 104871.69122519676
[296100.] --- 307128.4117263495
[261450.] --- 238790.09834931672
[154350.] --- 161494.0913982435
[234675.] --- 269854.4925860798
[381150.] --- 332060.58173711516
[302400.] --- 422471.19938481424
[229950.] --- 244388.67147529585
[362250.] --- 307744.00442588376
[189000.] --- 183665.7866148402
[483210.] --- 525111.3952399391
[241290.] --- 240038.03246833928
[264600.] --- 247050.91402866715
[305550.] --- 255938.88770779094
[472500.] --- 532133.1418718918
[289800.] --- 296346.62988704053
[355950.] --- 345377.7641536685
[207900.] --- 175467.8625041962
[560700.] --- 521663.6613169287
[217350.] --- 230325.9284020226
[373275.] --- 437317.66326997546
[355950.] --- 301581.383355403
[359100.] --- 366529.7795860975
[245700.] --- 227973.20061470603
[233100.] --- 252411.82599464018
[393750.] --- 344640.8401282783
[176085.] --- 182894.15111305786
[494550.] --- 566033.175520734
[346500.] --- 413604.8786547144
[385560.] --- 326368.7141865601
[100800.] --- 338141.48240901105
[756000.] --- 498159.58504823106
[327600.] --- 331924.15217953245
[252000.] --- 234013.55141689992
[346500.] --- 415201.21843730117
[292950.] --- 265523.4880333056
[428400.] --- 386082.6904929823
[259875.] --- 194827.1499666541
[438165.] --- 330209.2042004864
[226800.] --- 239420.78556121522
[327600.] --- 326462.4136113413
[318150.] --- 288239.0165469864
[239400.] --- 237238.02413817006
[614250.] --- 553373.7527070481
[214987.5] --- 149232.88164371072
[541170.] --- 539307.0947873762
[444150.] --- 534693.2930330882
[300510.] --- 296780.52649930917
[239400.] --- 271032.692688179
[233100.] --- 303255.89130704006
[409500.] --- 394780.61808979046
[329175.] --- 379520.68227999646
[299250.] --- 335796.79680474265
[507150.] --- 534534.1948820436
[256410.] --- 331716.5325591173
[223650.] --- 268621.4505097078
[223650.] --- 241361.5532762806
[359100.] --- 489508.7647878221
[223650.] --- 263267.58237749443
[228060.] --- 181185.87834986666
[176400.] --- 260830.3016741056
[661500.] --- 639789.2654036965
[648900.] --- 541015.0525510972
[296100.] --- 301559.56695442466
[324450.] --- 434226.3157632776
[289800.] --- 224233.6382307082
[233100.] --- 184429.40105210766
[378000.] --- 285935.00042023364
[390600.] --- 434791.7041088904
[264600.] --- 248864.89490316578
[492660.] --- 508075.45574264537
[633150.] --- 556730.4155456157
[474390.] --- 620295.5062157385
[362250.] --- 373497.8296828361
[611100.] --- 456123.7029253137
[328230.] --- 320171.7124573982
[239400.] --- 252768.9463105939
[548100.] --- 449877.2197552315
[749700.] --- 706795.1068130953
[112140.] --- 226678.89951115035
[478800.] --- 443714.2346338478
[261450.] --- 259399.8320664348
[261450.] --- 344971.9641854239
[431550.] --- 366505.37456703105
[431550.] --- 584226.6985555441
[346500.63] --- 366034.5883134078
[349650.] --- 309633.9055902103
[475650.] --- 497666.9652273291
[469350.] --- 406757.1918547475
[670950.] --- 561586.8305264155
[494550.] --- 479028.47424854245
[441630.] --- 440129.8841376739
[315000.] --- 283990.838271806
[422100.] --- 488377.3860765069
[381150.] --- 317374.7972768953
[787500.] --- 632452.9358596925
[247590.] --- 208244.87124932627
[223650.] --- 239352.88120947915
[345870.] --- 350686.92502675054
[242550.] --- 269693.8214963431
[135450.] --- 147242.43061586044
[340200.] --- 338811.3825089478
[459900.] --- 622966.4048827143
[306810.] --- 316424.89886625216
[406350.] --- 406865.38742119
[179550.] --- 207373.39479997984
[248850.] --- 223612.7067592327
[629370.] --- 567926.1699677942
[363510.] --- 375942.92568120314
[270900.] --- 252765.35465572198
[163800.] --- 154651.59533670807
[263025.] --- 278364.81049968215
[151200.] --- 170800.69154013318
[314370.] --- 334129.8693272292
[642600.] --- 579321.4548747354
[428400.] --- 336241.6072054772
[217350.] --- 230909.73238654272
[425565.] --- 379818.13957260014
[362250.] --- 359573.98905563116
[355950.] --- 347333.27480584325
[274050.] --- 265601.3841140524
[321930.] --- 335794.7501898052
[481950.] --- 537278.7057510664
[291375.] --- 231206.55734118258
[315000.] --- 267116.3198288007
[448875.] --- 535570.1992195207
[541800.] --- 500745.8134159545
[166950.] --- 283918.204051972
[201600.] --- 225161.89019220875
[315315.] --- 332985.86120626115
[200970.] --- 222110.41976459537
[283500.] --- 384590.4954516026
[803250.] --- 628444.3677541257
[270900.] --- 229028.5219260101
[252000.] --- 241266.7508262336
[554400.] --- 461745.4200303202
[119700.] --- 169205.74068091865
[378000.] --- 349187.0491929907
[299250.] --- 294949.9909587537
[279090.] --- 343673.69231073
[784980.] --- 677258.075833967
[338310.] --- 358740.50166713825
[264600.] --- 291861.1425315219
[277200.] --- 280708.05006240174
[409500.] --- 349131.641159668
[277200.] --- 230237.45609992387
[458640.] --- 529780.8899903541
[280350.] --- 243099.82128580843
[504000.] --- 611089.9919627807
[527940.] --- 468373.7036405067
[326340.] --- 370614.4269942711
[378000.] --- 317437.80503009586
[425250.] --- 371301.22187544947
[179550.] --- 205022.65834300208
[645750.] --- 562623.3633455843
[359100.] --- 388742.4898394414
[282870.] --- 295388.9151644041
[283500.] --- 291747.4191814283
[245700.] --- 283491.29282777087
[283500.] --- 305191.4289237335
[418950.] --- 424730.6354999392
[278775.] --- 262366.90416063176
[333900.] --- 361659.91345294146
[481950.] --- 481597.42941081844
[585900.] --- 467125.34175144805
[340200.] --- 341782.19784120575
[466200.] --- 435254.4731706379
[204750.] --- 174999.0382691315
[252000.] --- 267541.3200211615
[204750.] --- 280332.6958019559
[247590.] --- 289284.17937913607
[220500.] --- 231730.58949250847
[301140.] --- 340273.8810433047
[560700.] --- 428011.77245197404
[183015.] --- 222227.89041084138
[428400.] --- 462141.47168226313
[308700.] --- 301376.2768582468
[329490.] --- 291683.19360787596
[264600.] --- 253575.46310446365
[328860.] --- 332029.149746994
[438480.] --- 418267.9976197647
[450450.] --- 342645.8915601431
[340200.] --- 381632.9609912008
[538650.] --- 592729.5722995701
[359100.] --- 329623.25002224033
[321300.] --- 336260.93156831694
[284760.] --- 284119.65821319685
[327600.] --- 425334.8547740663
[340200.] --- 333818.85724715615
[327600.] --- 319745.79280142003
[236250.] --- 263750.4427194504
[258300.] --- 269992.40862047684
[337050.] --- 307687.04687815235
[354375.] --- 311957.8023339474
[480375.] --- 445638.430329006
[333900.] --- 351613.3987112833
[239400.] --- 262756.3320871614
[567000.] --- 599377.8052619532
[286650.] --- 266891.1344822687
[258300.] --- 243099.15572075138
[327600.] --- 263493.1593893893
[91318.5] --- 101189.11135576924
[515970.] --- 627650.8339710676
[291375.] --- 277389.7602042074
[337050.] --- 415182.47204906703
[233100.] --- 253238.31679729163
[428400.] --- 434040.55162765627
[292950.] --- 279015.43380891747
[346500.] --- 302449.17633637897
[437850.] --- 492582.0225067785
[346500.] --- 318486.04453184037
[236250.] --- 269568.64429300814
[549675.] --- 565570.1711171303
[267750.] --- 259958.39490695996
[350910.] --- 318644.85411418416
[409500.] --- 395481.71502451104
[481950.] --- 535205.8628943728
[384300.] --- 390835.38798905764
[274050.] --- 272350.813644526
[504000.] --- 529158.5764223719
[163800.] --- 217197.0524725603
[705600.] --- 587128.5825503275
[403200.] --- 407288.1328828926
[261450.] --- 305305.9568445668
[346500.] --- 345999.2821836584
[422100.] --- 370219.70758176665
[401940.] --- 395595.75401967816
[270900.] --- 260400.41211950936
[195300.] --- 267194.77744783816
[415170.] --- 356383.0655196066
[463050.] --- 476350.17252104817
[346500.] --- 489105.8566579017
[148050.] --- 191688.46082378674
[594720.] --- 580785.5193076049
[283500.] --- 256269.5091066721
[360360.] --- 330624.33653856476
[409500.] --- 347073.11409473344
[374850.] --- 389150.7694153038
[462420.] --- 426029.73856668413
[327600.] --- 316467.21164641116
[157500.] --- 223374.69863975744
[338310.] --- 363538.9387506107
[447300.] --- 394540.47575401276
[456750.] --- 491271.3891247369
[239400.] --- 226321.984560858
[169470.] --- 192452.47191529846
[299250.] --- 265057.31098163803
[223650.] --- 223044.06284232612
[195300.] --- 307300.19707465
[252000.] --- 225073.18461414828
[265860.] --- 251585.13604221086
[601650.] --- 644894.9636255426
[567630.] --- 486065.5321605348
[567000.] --- 469377.3079315954
[189000.] --- 228531.32209457931
[242550.] --- 391531.7846509598
[296100.] --- 277271.26652651094
[217980.] --- 199325.23131870848
[357840.] --- 350687.8265156713
[437850.] --- 463815.2051749304
[568890.] --- 562459.518747008
[318150.] --- 285499.5431690913
[248850.] --- 262990.92489209055
[441000.] --- 534368.8367573123
[280350.] --- 283617.5814526643
[563220.] --- 524138.66905244667
[258300.] --- 245514.01117133885
[790650.] --- 637321.5533527804
[248220.] --- 290283.4620592007
[437220.] --- 375003.8284925706
[321300.] --- 264058.53868649836
[374220.] --- 356859.1839983207
[526050.] --- 619270.2552060209
[485100.] --- 450133.5530094068
[302400.] --- 290403.44480249204
[195300.] --- 215172.74879177593
[264600.] --- 328577.28103675833
[180495.] --- 196185.04834486588
[382410.] --- 356523.75701399695
[327600.] --- 369415.92222858523
[242550.] --- 198362.19978449997
[502425.] --- 424920.37525913626
[532350.] --- 472904.0301927404
[409500.] --- 388558.6876003192
[286650.] --- 273693.1880175151
[724500.] --- 618033.3749156436
[711900.] --- 581345.9616448067
[204750.] --- 226204.72722176978
[617400.] --- 597828.3034763127
[267750.] --- 246176.8743984813
[239400.] --- 246016.31305450737
[522900.] --- 410086.61158706143
[434700.] --- 460473.7125947766
[252000.] --- 240203.5374335561
[286650.] --- 305940.8781105274
[278775.] --- 276478.2422620816
[318150.] --- 303452.84821252374
[274050.] --- 322158.515239617
[252000.] --- 208688.4837883272
[311850.] --- 338501.2071323943
[182700.] --- 167760.90177348934
[337050.] --- 342930.28308247234
[263970.] --- 266222.29612689995
[497700.] --- 447074.5427175286
[313740.] --- 308948.45511678874
[623700.] --- 512905.57340583985
[340200.] --- 272518.43922421185
[357840.] --- 267296.17209788103
[222075.] --- 242512.93780503894
[242550.] --- 276076.7559471564
[423990.] --- 587918.2869886534
[756000.] --- 653588.1187638607
[333900.] --- 333812.21653473086
[333900.] --- 364859.0733410348
[198450.] --- 206771.59742968125
[352800.] --- 384915.28588757734
[245700.] --- 248339.76103223296
[258300.] --- 268977.6219667741
[302400.] --- 304912.61757742293
[296730.] --- 332227.0636881138
[297360.] --- 297357.00751009677
[250425.] --- 305783.24452561804
[54810.] --- 349437.7406962854
[161028.] --- 252398.610378033
[409500.] --- 338990.9654832221
[236250.] --- 277653.9846456673
[434700.] --- 329933.924886363
[296100.] --- 291814.088041862
[434700.] --- 373110.9041905789
[314370.] --- 421921.6117470279
[425880.] --- 322658.3736051846
[362250.] --- 350805.48108200915
[381150.] --- 405523.0433364969
[179550.] --- 178209.64617752872
[346500.] --- 277964.54497446126
[516600.] --- 554850.396061395
[179550.] --- 221772.62559418962
[217350.] --- 240142.46346150953
[277200.] --- 278621.0713144038
[185850.] --- 168107.2265397282
[318150.] --- 337421.08366349223
[219870.] --- 256711.43268656128
[308700.] --- 318938.45688254514
[589050.] --- 480273.9475680009
[511875.] --- 423892.2926113946
[234990.] --- 246543.1988745538
[346500.] --- 263765.0823733935
[203175.] --- 214947.91613446522
[198450.] --- 224618.632735503
[333270.] --- 325303.4307276391
[250740.] --- 292521.55788139947
[349650.] --- 348076.2180311389
[202245.75] --- 238469.3095928529
[601650.] --- 525744.0178235809
[787500.] --- 704998.2694635483
[201600.] --- 208640.4290056243
[217350.] --- 269720.42023189313
[415800.] --- 435803.01683924947
[292950.] --- 287178.4856880399
[592200.] --- 526797.1868933857
[270900.] --- 228288.5866662133
[245700.] --- 188967.13745665137
[248850.] --- 226598.12074151338
[228060.] --- 258445.89479748366
[366030.] --- 349818.672253517
[315000.] --- 312243.12423731765
[296100.] --- 353490.47434269777
[343350.] --- 331947.54418653424
[266175.] --- 365933.0856170952
[803250.] --- 655809.7403143625
[787500.] --- 637330.6900694894
[148050.] --- 143339.3961323335
[406350.] --- 393625.29482714314
[409500.] --- 459836.64811657014
[307125.] --- 484882.2362526099
[157500.] --- 225170.96392109746
[234675.] --- 242089.07243156873
[403200.] --- 378145.17516163137
[223650.] --- 241184.6195390348
[346500.] --- 415767.94252036005
[189000.] --- 217975.20281468777
[422100.] --- 304961.0618127744
[329490.] --- 382798.0087169861
[357840.] --- 337741.828006815
[491400.] --- 590314.5373514722
[254520.] --- 244245.48007131202
[302400.] --- 346238.1908358557
[196875.] --- 203144.81488384836
[384300.] --- 335829.70074163785
[724500.] --- 408041.60820784804
[390600.] --- 364855.3975527885
[393750.] --- 386408.77229082247
[396270.] --- 372434.75164331275
[381150.] --- 365249.8565948224
[340200.] --- 350786.6151044064
[83160.] --- 275792.7225857325
[330750.] --- 326263.1309636554
[305550.] --- 341077.47629460465
[286650.] --- 264672.7987823577
[378000.] --- 460288.40500856214
[305550.] --- 288619.5611726616
[510300.] --- 476704.01350071025
[308700.] --- 299530.61249355925
[378000.] --- 356246.6782953946
[343350.] --- 284949.0095105389
[229950.] --- 263856.11691053805
[299250.] --- 298232.84251479385
[151830.] --- 172903.5629018723
[226800.] --- 251878.66127991443
[266238.] --- 390205.36038637836
[623700.] --- 432162.9713587084
[337050.] --- 309432.7180878833
[211050.] --- 194979.28233221694
[346500.] --- 341496.4085540879
[554400.] --- 659769.7743791123
[176400.] --- 211203.11210077602
[406350.] --- 459496.76048354025
[453600.] --- 409704.0087626753
[264600.] --- 235331.13365624062
[352800.] --- 319345.0631529415
[229950.] --- 210808.879492859
[299250.] --- 294523.06276815804
[664650.] --- 647805.6206710531
[579600.] --- 529306.2310638006
[360360.] --- 340610.0726731435
[752850.] --- 691983.4224139324
[189630.] --- 244075.4265986112
[338625.] --- 312540.73189723236
[382410.] --- 323322.69085841806
[453600.] --- 389448.1510784277
[258300.] --- 246895.49962593857
[315000.] --- 395965.9755186052
[299250.] --- 313506.9092579802
[283500.] --- 301886.28927167284
[385560.] --- 515530.775772277
[396900.] --- 484824.0378732272
[267750.] --- 252700.3096588772
[228690.] --- 276099.19214261934
[283500.] --- 331274.9863864364
[286650.] --- 360460.02669905697
[306810.] --- 311368.7390581967
[252000.] --- 210892.14377677726
[383670.] --- 295566.59986621165
[538650.] --- 592668.7937622758
[234990.] --- 272976.85209913633
[652050.] --- 633328.3669065118
[340200.] --- 271065.422930459
[535500.] --- 524513.8122740577
[352800.] --- 351836.9910453933
[180810.] --- 176988.0086748515
[226800.] --- 200714.59826783006
[479745.] --- 451482.255060887
[276570.] --- 282803.537595403
[352170.] --- 305193.33570447384
[333900.] --- 315762.5161268663
[341460.] --- 333385.29016679915
[510930.] --- 435440.32411048794
[242550.] --- 247571.0734774321
[352800.] --- 419864.9841346795
[541800.] --- 441396.73057242954
[532350.] --- 459215.96714261005
[236250.] --- 218838.6492736231
[362250.] --- 329304.61612575647
[504000.] --- 484292.3850084904
[774900.] --- 570461.058221872
[541800.] --- 526253.6560301741
[425250.] --- 520208.22414345125
[280350.] --- 287668.17677747476
[264600.] --- 266483.7147131593
[292950.] --- 291524.9819687821
[332010.] --- 391396.4471737755
[368550.] --- 386056.9346618947
[754740.] --- 673827.3745462444
[220500.] --- 218225.6507805094
[206640.] --- 212445.49986202808
[237510.] --- 226574.54838230746
[472500.] --- 426196.70231609425
[264600.] --- 273971.82184167526
[485100.] --- 392665.5316538158
[409500.] --- 470244.74163736665
[294210.] --- 310355.4685864821
[189000.] --- 198596.4619405655
[491400.] --- 452276.2316659283
[192150.] --- 221314.27196740985
[388080.] --- 319997.7410360247
[302400.] --- 296469.32625592337
[302400.] --- 284805.4881928361
[535500.] --- 524752.1354563364
[224910.] --- 303028.9021791107
[297675.] --- 325706.141169419
[378000.] --- 438230.93095415115
[233100.] --- 246886.18802377244
[242550.] --- 247746.15179062498
[204750.] --- 193310.9394180257
[340200.] --- 431992.07926911325
[327600.] --- 301961.35416589724
[250110.] --- 291913.2209039778
[554400.] --- 644858.6672842195
[315000.] --- 288341.70390891127
[513450.] --- 557301.5077662893
[567000.] --- 475319.1354835715
[800100.] --- 668076.7154723263
[141750.] --- 187802.10552576926
[491400.] --- 434984.0383392035
[437850.] --- 451152.35901277064
[800100.] --- 604697.2823326588
[589050.] --- 525244.4098106186
[103950.] --- 159756.5464453857
[529200.] --- 464865.9141858806
[441000.] --- 395298.20229127107
[403200.] --- 485720.106489201
[354690.] --- 328077.63503078214
[355950.] --- 381537.3748041959
[526050.] --- 494677.4031467106
[220500.] --- 214419.54023268158
[283500.] --- 299401.70604421664
